FIPS,AveBMI,AvePM,NumTot,MedHVal,MedHInc,PerAsianAm,PerBlack,PerLatinx,PerWhite,FemaleUnemp,MaleUnemp,LTHS,State,ClimateRegion
36081,27.073081217602418,9.548071371068232,1768821,479300,55291,0.23062028322820682,0.1724736420474429,0.25959608123150957,0.29799001707917305,8,7.8,17.6,NY,northeast
06029,28.798208874355254,16.07773607196828,585550,217100,47089,0.042780292033131245,0.05537870378276834,0.43816924259243445,0.4376107932712834,NA,NA,25,NA,NA
25023,27.04324489384267,7.848361,375444,360700,73131,0.011636888590575425,0.06318119346693515,0.026627140132749492,0.8573369130948957,6.2,8,15.1,MA,northeast
51540,25.894864939413537,9.424166999999999,37001,279700,42240,0.06875489851625632,0.1694819058944353,0.04626901975622281,0.6922785870652145,4.4,4,5.1,VA,southeast
53061,27.43175055431639,7.064543,539168,338600,66300,0.08911693572318832,0.023326681108671136,0.07228544720754941,0.7741242061843433,6.1,6.7,17.7,WA,northwest
28075,28.65545192871417,11.177311,60181,83200,33926,0.007311277645768598,0.39454312822984,0.01596849503996278,0.5749655206792842,9.1,8.7,19.3,MS,south
55063,25.784401350993846,9.693277,90176,148700,49328,0.0334013484740951,0.011133782824698367,0.0120763839602555,0.931500621007807,3.6,5.8,4.8,WI,upper_midwest
12015,26.38319611884202,6.9669419999999995,137100,184900,45037,0.01099927060539752,0.04884026258205689,0.04665937272064187,0.8821808898614151,10.1,10.9,18.3,FL,southeast
37199,26.483621708030007,9.890513445176115,14256,129700,35703,0.001893939393939394,0.006593714927048261,0.032196969696969696,0.9515993265993266,5.6,4.2,14.6,NC,southeast
28067,28.413285517909276,12.24544700801128,50413,79500,36017,0.004165592208358955,0.25675916926189674,0.04169559439033583,0.6888897704957054,5,6,21.9,MS,south
19103,26.880473988098252,11.458888339803401,104964,177000,51380,0.0524179718760718,0.038070195495598494,0.04008040852101673,0.8543500628787013,2.9,3.9,2.8,IA,upper_midwest
55025,26.558180742799173,9.984155537044632,381989,230800,60519,0.045325912526276935,0.04183890112018932,0.04774221247208689,0.8495087554877234,3.8,5,7.4,WI,upper_midwest
27053,26.42067099762986,9.048092502875118,891080,247900,61328,0.05781972437940477,0.09919872514252367,0.054383444808546934,0.7634387484849845,5.6,6.8,13.7,MN,upper_midwest
51087,27.513951103819466,9.869339968995256,232563,230000,60114,0.06257659214922408,0.2791415659412718,0.042801305452716036,0.5977649067134497,5.6,5.9,17.3,VA,southeast
28033,28.25779320965152,10.24111030401287,115627,152300,59418,0.012626808617364456,0.198232246793569,0.04243818485301876,0.7366186098402622,7,6.7,19.2,MS,south
37145,30.92810973566695,10.175652,30350,115900,44668,0.003196046128500824,0.26253706754530476,0.03189456342668863,0.6891268533772652,11.5,5.6,19.7,NC,southeast
21079,27.411181155290592,10.703477999999999,12998,109200,37095,0.002000307739652254,0.02108016617941222,0.018387444222188028,0.9522234189875366,13,8.3,36.4,KY,ohio_valley
37007,30.541103499611623,10.064946633007619,20982,78400,34745,0.00896006100467067,0.469783624058717,0.026594223620245924,0.48136497950624346,14,10.8,25.9,NC,southeast
55061,27.64117505993982,9.912201999999999,15725,144400,54152,0.002289348171701113,0.0027344992050874406,0.015580286168521463,0.9701748807631161,4.3,4.1,17.4,WI,upper_midwest
51810,26.582835080581713,9.96081547227449,332745,277400,64618,0.06304527491021653,0.18095538625674315,0.05639453635666952,0.6737531743527325,4.6,4.8,11.6,VA,southeast
51710,27.67420379112018,10.095452402993203,192191,208400,42677,0.03481432533261183,0.3965898507214178,0.06188114948150538,0.4784459209848536,8.3,8.9,11.1,VA,southeast
54099,29.2766137842626,13.189565,32959,85500,35079,0.0016080584969204164,0.0015473770442064384,0.00388361297369459,0.9849813404532904,6.2,5.9,21.7,WV,ohio_valley
05149,27.476131794996256,11.283192999999999,16354,75300,36606,0.01180139415433533,0.013452366393542864,0.14840406016876606,0.8119114589702825,NA,NA,32.7,NA,NA
22099,30.002711056551412,8.724793,38389,84300,41302,0.007111412123264477,0.28445648493057907,0.01914610956263513,0.6768084607569876,4.9,7.6,18.9,LA,south
51067,28.33087605149891,10.296184043158615,44482,156100,45555,0.00422642866777573,0.08176340991861877,0.01940110606537476,0.8846499707746954,6.5,6.6,11.5,VA,southeast
13219,25.75793413651357,11.380583,23505,228700,74352,0.02986598596043395,0.05084024675600936,0.03633269517124016,0.874069346947458,5.2,4.3,20.5,GA,southeast
34005,27.352348494981126,9.902725229091141,344491,270200,76258,0.041635340255623515,0.15515935104255263,0.056677823223248214,0.7261466917858521,6.6,6.2,16.6,NJ,northeast
36061,25.984466232301532,10.33687818375182,1351438,825200,64971,0.11698945863591227,0.12367640986859922,0.2331879079913396,0.5060809300907626,7.3,7.8,12.8,NY,northeast
18083,29.52509398892823,12.302608999999999,30248,84700,39523,0.005454906109494843,0.02915895265802698,0.011075112404125892,0.9450211584236974,5,6.4,8.7,IN,ohio_valley
18035,29.100588972513968,12.75444380712842,94098,92400,38066,0.009978958107504942,0.06225424557376352,0.014070437203766287,0.8996790580033582,8.7,11.9,8.2,IN,ohio_valley
18103,27.55739859250273,12.502678999999999,28510,86100,39485,0.0031918625043844263,0.05370045598035777,0.01971238162048404,0.9044545773412838,8.6,11.4,30,IN,ohio_valley
18183,29.00088553039486,10.683145106195457,25109,123500,52129,0.0027878449958182324,0.002309928710820821,0.01146999083993787,0.9741925206101398,7.6,8.1,21.8,IN,ohio_valley
45039,30.705793698779537,11.134436693159625,18525,91500,32022,0.002375168690958165,0.561727395411606,0.013819163292847504,0.4138191632928475,5.1,10.3,27.5,SC,southeast
06019,29.113943879175075,14.23749667440227,652943,257000,46430,0.09261298459436734,0.048195631165354406,0.45303035640170736,0.38142839420898916,NA,NA,23.3,NA,NA
54107,28.772475822253536,13.307692,67965,102500,42146,0.005311557419259913,0.009872728610314132,0.006959464430221438,0.9662767600971088,6,8,17.5,WV,ohio_valley
48493,30.395896126046956,8.932727,31584,124100,60493,0.003799392097264438,0.01611575481256332,0.3513804457953394,0.6179394630192503,5,4.3,21.5,TX,south
13245,27.94308097687997,12.377793429074423,151244,99300,37882,0.01900901853957843,0.5053026896934755,0.037224617174896196,0.41807939488508633,9.9,11,21.1,GA,southeast
24029,28.061308477401067,10.231304590057722,16649,281100,50141,0.00822872244579254,0.1438524836326506,0.03868100186197369,0.799267223256652,2.7,5.5,7.8,MD,northeast
45041,28.95752597663522,10.853636,103185,108400,40487,0.011261326743228182,0.39342927751126616,0.01831661578717837,0.5672723748606872,8.8,9.6,20.3,SC,southeast
54109,28.681508697817687,10.329167,18682,59300,36343,9.099668129750562e-4,0.004870998822395889,0.003961032009420833,0.9808371694679371,3.1,5.8,13.3,WV,ohio_valley
18177,26.390864125317073,11.969166999999999,53034,99700,41123,0.007165214767884753,0.04827092054153939,0.019289512388279216,0.9089263491345175,8.5,11.7,27.2,IN,ohio_valley
18015,27.595525656927776,11.672222,15198,107400,48055,0.0011185682326621924,0.0017107514146598236,0.02770101329122253,0.9630214501908145,6.4,4.7,30.7,IN,ohio_valley
24017,28.391224642507886,10.554670646661753,107667,355800,88825,0.029962755533264603,0.3819926254098285,0.0370494208996257,0.5223606118866505,3.6,6.3,10.1,MD,northeast
13145,25.39726084532716,12.616110190910844,24406,196000,67018,0.009505859214947144,0.17098254527575185,0.023231992133082028,0.7840694911087438,6.8,5.3,22.7,GA,southeast
39081,28.81557811922081,13.123244336915578,55655,84800,37527,0.0039708921031353876,0.05022010601024167,0.009576857425208876,0.9255053454316773,6.7,8.7,9.8,OH,ohio_valley
12127,27.753473017668913,7.55287242594275,401320,186300,44400,0.014711452207714542,0.09143825376258348,0.09393252267517194,0.7861133260241204,6.5,8.1,15.4,FL,southeast
51199,26.088277610655147,9.394298599080765,48188,324800,81055,0.04824852660413381,0.13216983481364655,0.0350709720262306,0.7611231011870175,2.9,2.9,9.7,VA,southeast
28031,27.411635902296666,12.139471264417388,14481,81600,32456,0.0018645121193287756,0.3193840204405773,0.016366273047441475,0.6563773220081486,3.8,8.1,20.8,MS,south
22079,27.260984703969147,9.205881999999999,97599,110500,40658,0.011967335730898882,0.29609934528017706,0.023217450998473346,0.649535343599832,6.2,5.8,23.4,LA,south
51013,24.79187231274132,10.597524865579047,175001,571700,94880,0.09668516179907544,0.08048525436997503,0.13771349878000697,0.6612362215073057,2.8,3.4,12.1,VA,southeast
17195,26.80385382528734,12.25130891235321,44758,98100,45266,0.004647213905893919,0.010612627910094284,0.0868448098663926,0.8896286697350194,5.3,7.3,17.6,IL,ohio_valley
26143,32.05958597673768,5.945945999999999,20523,107400,33542,0.0022901135311601617,0.0025337426302197534,0.00906300248501681,0.971982653608147,13.2,19.8,29.5,MI,upper_midwest
28023,28.354243632316358,11.177311,12604,59900,29103,0.0016661377340526817,0.3175182481751825,0.006267851475721993,0.6691526499523961,9.2,10.4,22.7,MS,south
21145,27.907117104452663,11.436283,50859,107500,41630,0.0072750152382075935,0.09866493639277217,0.01663422403114493,0.8652549204663874,7.7,6,19.6,KY,ohio_valley
22009,27.00932472362518,9.205881999999999,31790,82100,31412,0.0033658383139352,0.2825416797735137,0.012802768166089966,0.6805913809374017,9.2,8.3,41.7,LA,south
21089,28.86100778833197,11.49232205246247,28585,88400,42377,0.004512856393213224,0.006751792898373273,0.0058772083260451285,0.9732377120867588,7.2,8.6,18,KY,ohio_valley
54009,28.67550506134463,13.13158678120086,19492,85300,39475,0.004001641699158629,0.011286681715575621,0.006053765647445105,0.9706033244407962,7.1,8.9,15.3,WV,ohio_valley
21043,29.585134299359385,9.948921928622996,21216,74500,32424,0.0015554298642533936,0.005231900452488687,0.008908371040723981,0.9758201357466063,4.6,10.1,20.6,KY,ohio_valley
20103,27.448777669184924,9.714985780469668,57080,166700,61107,0.013612473721093202,0.09742466713384723,0.04919411352487737,0.8154519971969166,4.3,6,16.4,KS,south
53033,26.44152805966107,6.2367080018418015,1517747,407700,68065,0.14553413711244365,0.05583934608337226,0.07450451228037347,0.6809540720554875,5.6,5.8,13.6,WA,northwest
51023,28.16069733171441,10.289740298375651,25714,202500,64724,0.005094501050011667,0.030255891732130356,0.008711207902310026,0.9474216380182002,3.7,3.5,15.7,VA,southeast
45067,28.238420743220317,10.853636,24991,82500,30629,0.005161858268976831,0.5321115601616582,0.01956704413588892,0.4331959505421952,11.9,12.5,28.7,SC,southeast
21065,29.6299472701273,10.703477999999999,11333,70300,28324,0.001058854672196241,0.001411806229594988,0.005558987029030266,0.9849113209212036,10.4,12.1,34.8,KY,ohio_valley
21179,27.994632647787668,12.672174156796174,32152,116800,44783,0.00460313510823588,0.048239611843742224,0.014369246081114706,0.9239549639213734,5.7,6.9,15.4,KY,ohio_valley
09003,27.572202546058104,8.068286771631781,689971,247400,62590,0.039956751805510664,0.11730203153465871,0.13008082948413774,0.6977641089263172,NA,NA,15.8,NA,NA
37089,27.494666414174,10.14958,84781,184200,46446,0.008940682464231372,0.02736462179025961,0.07508757858482443,0.8753494297071278,5.5,7.2,32.6,NC,southeast
39029,28.15878565668544,12.398347,84257,97400,39502,0.0029671125247753894,0.023167214593446242,0.011583607296723121,0.9532620435097381,7.7,10.3,19.7,OH,ohio_valley
08123,27.35982534832866,7.27541,182424,195700,55596,0.012037889751348507,0.00844187168355041,0.24043985440512214,0.7202286979783362,NA,NA,16.9,NA,NA
51840,31.92852100637262,11.020565247270117,20382,267000,44873,0.022617996271219704,0.10185457756844274,0.1244235109410264,0.7361887940339515,5.3,6.9,20.6,VA,southeast
21093,27.543616072758297,11.94255723459414,78127,131900,47540,0.021183457703482792,0.10737645116285023,0.04098455079549963,0.8055985766764371,7,5.7,12.6,KY,ohio_valley
05145,29.85952363308954,11.67094,58643,92700,39178,0.005695479426359497,0.0365431509302048,0.029108333475436114,0.9125556332384087,NA,NA,12.7,NA,NA
39133,27.7486036417391,11.23370916463678,127741,157100,50447,0.015069554802295269,0.03840583681042108,0.011022302941107396,0.9231256996579016,7.3,8.7,7.9,OH,ohio_valley
40135,28.769253082582527,11.474544999999999,31465,80100,36357,0.00441760686477038,0.01636739234069601,0.023613538852693468,0.6970920069918958,7.8,8.2,18.8,OK,south
40109,27.901438348788997,8.957851592921735,537515,117500,42916,0.0304065933043729,0.14290205854720334,0.12095290363989843,0.6429383366045599,5.8,5.7,20,OK,south
19085,28.061422492727672,9.68,11333,111400,51303,0.0022941851230918555,8.823788934968676e-4,0.007676696373422748,0.9822641842407129,3.8,3.9,20.7,IA,upper_midwest
01019,27.921489098876616,12.124386329049837,20423,97100,40690,0.0015668608921314204,0.044508642217108166,0.008372912892327278,0.9305684767174265,NA,NA,39.2,NA,NA
17019,26.746395452797387,10.578571,162002,145200,45262,0.09596177824965124,0.10434439080999,0.046882137257564724,0.7331823063912791,5.7,4.8,4.5,IL,ohio_valley
51740,28.77940288824325,10.169303272615615,72869,180400,45488,0.011568705485185744,0.5033004432611947,0.02684269030726372,0.4371817919828734,6,6,18.5,VA,southeast
34027,26.70720998650794,8.345076620800258,374581,474700,96747,0.08740699608362411,0.028976376271086894,0.1085719777564799,0.7638561486033728,4.8,5.4,12.3,NJ,northeast
01055,28.928536307580742,11.761898347105081,80444,98200,36422,0.00605390085028094,0.14238476455671026,0.024998756899209388,0.8132489682263437,NA,NA,28.1,NA,NA
26115,28.94346262893406,9.891185244752737,115344,161800,55366,0.005271188791788043,0.018527188236926066,0.02428388125953669,0.9397888056595922,8.3,10.1,13.8,MI,upper_midwest
22033,27.88026618740357,10.508259852415968,336506,156100,46179,0.028623560946907337,0.4136954467379482,0.03615685901588679,0.5096788764539116,6,6.9,14.3,LA,south
18097,27.966879434933062,13.870356969385046,676888,122200,43541,0.020526290907801586,0.2455118128848495,0.07643066504355225,0.6407441112857666,8.8,9.5,23.9,IN,ohio_valley
38017,27.052820364733538,8.448333,117118,147900,47600,0.024436892706501137,0.01724756228760737,0.015505729264502468,0.920755135845899,3.1,3.6,4.1,ND,rockies
